Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
1/7/2022,2:59:59 AM,399830.1627,-186982.2084,-135344.8326,364870.304,-76113.53054,-68874.73964
1/7/2022,3:59:59 AM,401871.4652,-186517.6586,-136301.0122,366071.1437,-72902.69265,-67413.89109
1/7/2022,4:59:59 AM,403888.2588,-186045.4806,-137251.7266,367236.7919,-69685.16281,-65946.57687
1/7/2022,5:59:59 AM,405882.3199,-185559.724,-138196.5964,368367.2119,-66461.13746,-64473.06102
1/7/2022,6:59:59 AM,407851.1378,-185066.705,-139138.0041,369462.3449,-63231.07414,-62993.47915
1/7/2022,7:59:59 AM,409797.3349,-184560.807,-140075.8902,370522.1821,-59995.17293,-61507.96857
1/7/2022,8:59:59 AM,411720.987,-184045.9489,-141008.3075,371546.6829,-56753.76028,-60016.73384
1/7/2022,9:59:59 AM,413622.5067,-183519.0249,-141934.8775,372535.8224,-53507.23075,-58519.85015
1/7/2022,10:59:59 AM,415498.5373,-182986.0523,-142857.7206,373489.5777,-50255.8456,-57017.5255
1/7/2022,11:59:59 AM,417354.0687,-182442.3364,-143775.1719,374407.9394,-46999.93324,-55509.83813
1/7/2022,12:59:59 PM,419188.1748,-181887.732,-144686.8548,375290.8818,-43739.81891,-53996.99941
1/7/2022,1:59:59 PM,420998.8366,-181325.2616,-145594.9149,376138.3833,-40475.82773,-52479.22259
1/7/2022,2:59:59 PM,422786.8786,-180755.5774,-146499.6005,376950.4604,-37208.22145,-50956.52447
1/7/2022,3:59:59 PM,424553.3453,-180175.767,-147398.3183,377727.0967,-33937.32333,-49429.1213
1/7/2022,4:59:59 PM,426297.763,-179589.535,-148291.2982,378468.2805,-30663.45634,-47897.23109
1/7/2022,5:59:59 PM,428022.0397,-178990.6403,-149180.7173,379174.0289,-27386.94478,-46360.87464
1/7/2022,6:59:59 PM,429723.7685,-178389.289,-150064.5746,379844.3291,-24108.1094,-44820.33922
1/7/2022,7:59:59 PM,431405.0598,-177775.6331,-150942.1859,380479.2081,-20827.20597,-43275.64815
1/7/2022,8:59:59 PM,433064.5651,-177156.6857,-151818.9406,381078.6669,-17544.55375,-41727.02524
1/7/2022,9:59:59 PM,439375.2661,-178426.683,-136219.9235,381642.7183,-14260.47157,-40174.62931
1/7/2022,10:59:59 PM,441025.8494,-177790.6709,-137040.232,382171.3853,-10975.27741,-38618.55381
1/7/2022,11:59:59 PM,442657.7438,-177140.0901,-137862.5215,382664.6873,-7689.28776,-37058.95996
1/8/2022,12:59:59 AM,444267.06,-176488.5283,-138674.6366,383122.6415,-4402.751004,-35496.07715
1/8/2022,1:59:59 AM,445853.8429,-175832.531,-139481.1186,383545.2853,-1115.981238,-33929.93548
1/8/2022,2:59:59 AM,447421.7813,-175166.2897,-140284.7886,383932.6348,2170.708977,-32360.83373
1/8/2022,3:59:59 AM,448968.6621,-174492.8856,-141085.3197,384284.7389,5457.008379,-30788.73706
1/8/2022,4:59:59 AM,450494.7226,-173816.3909,-141880.6044,384601.6211,8742.606994,-29213.94667
1/8/2022,5:59:59 AM,452000.9349,-173129.8684,-142672.6437,384883.3235,12027.26357,-27636.56381
1/8/2022,6:59:59 AM,453488.4406,-172437.7125,-143459.6047,385129.8905,15310.6714,-26056.69055
1/8/2022,7:59:59 AM,454954.5342,-171739.092,-144240.5747,385341.365,18592.52519,-24474.49714
1/8/2022,8:59:59 AM,456401.2316,-171034.9728,-145018.706,385517.7974,21872.45385,-22890.15483
1/8/2022,9:59:59 AM,457828.8489,-170321.8736,-145793.67,385659.2299,25150.35726,-21303.76847
1/8/2022,10:59:59 AM,459235.5459,-169606.8771,-146563.0484,385765.7231,28425.73278,-19715.57862
1/8/2022,11:59:59 AM,460623.1131,-168883.254,-147329.1593,385837.3256,31698.48402,-18125.62436
1/8/2022,12:59:59 PM,461991.8646,-168155.092,-148089.863,385874.1049,34968.17919,-16534.08043
1/8/2022,1:59:59 PM,463340.532,-167418.3019,-148846.9124,385876.1168,38234.59028,-14941.1225
1/8/2022,2:59:59 PM,464671.2515,-166677.637,-149598.7376,385843.4277,41497.42395,-13346.8593
1/8/2022,3:59:59 PM,465981.5311,-165932.3779,-150347.1011,385776.0964,44756.45578,-11751.46801
1/8/2022,4:59:59 PM,467272.5556,-165179.3062,-151091.9588,385674.21,48011.26143,-10155.05872
1/8/2022,5:59:59 PM,473260.088,-166077.2745,-134409.3281,385537.8159,51261.75479,-8557.809979
1/8/2022,6:59:59 PM,474541.315,-165310.8139,-135112.2619,385367.007,54507.5153,-6959.833111
1/8/2022,7:59:59 PM,475803.4454,-164540.8694,-135810.0052,385161.8619,57748.2588,-5361.307925
1/8/2022,8:59:59 PM,477047.043,-163763.9253,-136504.9482,384922.4425,60983.83776,-3762.278844
1/8/2022,9:59:59 PM,478270.8948,-162983.6013,-137197.0495,384648.8508,64213.83731,-2162.994754
1/8/2022,10:59:59 PM,479477.7176,-162197.1008,-137884.0766,384341.151,67438.11361,-563.5690951
1/8/2022,11:59:59 PM,480665.3098,-161403.8215,-138570.6304,383999.4541,70656.25621,1035.884299
1/9/2022,12:59:59 AM,481835.5568,-160604.5438,-139249.2954,383623.8266,73868.12505,2635.183044
1/9/2022,1:59:59 AM,482984.1999,-159805.7895,-139927.4049,383214.3727,77073.38076,4234.280705
1/9/2022,2:59:59 AM,484116.9202,-158997.9112,-140600.2552,382771.1886,80271.75344,5832.9259
1/9/2022,3:59:59 AM,485230.473,-158187.7722,-141267.5292,382294.3721,83462.97515,7431.003261
1/9/2022,4:59:59 AM,486325.3552,-157371.7824,-141931.6526,381784.0064,86646.84627,9028.465488
